Date	Scaled_USD_Price	ATRCT	AVBLS	ETRAV	NADDU	NTRAN	NTRBL	NTREP	TOUTV	JPY_Rate	GBP_Rate	CHF_Rate	EUR_Rate	CNY_Rate	CAD_Rate	SEK_Rate
2013-04-01	-1.25229145663637	0.0970503352964524	-0.107836979863284	0.114009908668175	-0.217428631301736	0.215532630559544	0.209609405238776	-0.266131052022192	0.125047691732387	0.183469365593985	-0.997103113955604	-0.470272018465827	0.139155201552649	-0.289037063893927	0.742834119781676	0.815873797025023
2013-04-02	-1.20997877600364	0.426552431771401	0.156246272961342	0.887999645433451	-0.062086895426848	0.374347078161044	0.280303753021189	-0.0790668144355829	0.638110520440936	0.216279693752369	-1.01512451170719	-0.408536634371491	0.155409618868686	-0.22990128862674	0.756187161894789	0.846094648185065
2013-04-03	-1.11572801279284	0.304262993903905	0.201753423387406	0.822390128286144	0.0885600054329239	0.474209374742369	0.317187760559839	0.00272372442356106	0.600693148712984	0.225338907621901	-1.1049011116011	-0.401875257507536	0.153420372500686	-0.189964161080607	0.768822625768445	0.862998339906416
2013-04-04	-1.09799186606111	0.487697150705148	0.402322288167998	0.7561673070685	0.090992874969665	0.553138057766271	0.286451087610964	0.0598084613386543	0.538896527112757	0.163133412183156	-1.12392075596709	-0.376326428398319	0.160091696559991	-0.202810530822209	0.768822625768445	0.821158773243437
2013-04-05	-1.06501142792358	0.467315577727232	0.245072623851743	0.320910665242373	0.0537659497855652	0.288718824261274	0.314114093264951	0.00603329004234601	0.535597793735836	0.0489094320718621	-0.971743566289935	-0.23072959918193	0.234073415067996	-0.225210993191722	0.764750370664733	0.841790486033562
2013-04-08	-0.850467570350444	0.239721346141864	0.220281263348022	0.480734201377504	0.167939913954029	0.439550804436208	0.234198743597876	-0.0275050468970607	0.13855619935055	-0.0708293555721687	-0.842834709358217	-0.103313455624154	0.305364263030977	-0.23653714352807	0.744861666225333	0.929037656765712
2013-04-09	-0.664946498338325	0.501284866024438	0.145321088706488	0.666305994682725	0.0811105991241424	0.397989028881052	0.169651730405238	0.143137842810354	0.378333768606769	-0.132820171665126	-0.833385180565366	-0.0562536942316704	0.352079041311821	-0.211223893204902	0.744541476937265	0.993129527370795
2013-04-10	-0.864930103222603	0.419758574112775	0.197063131714355	1.3963200773075	0.251542158034767	0.548495194058983	0.224977741713214	0.3461807475246	0.543124428273314	-0.150131600985076	-0.80961032752682	-0.0197091314190169	0.389926028460965	-0.124577084173414	0.755759355534331	1.03284196061863
2013-04-11	-1.05572804533673	0.423155502943107	0.347617636110487	1.81015313180808	0.239619086668755	0.526197230201611	0.268009083841639	0.297190744352268	0.821063780576935	-0.165248268716197	-0.747383471879973	0.00984035286551231	0.406117310118708	-0.0730996727954238	0.778909217621135	1.06138352311013
2013-04-12	-1.3099461484916	0.307659922734237	0.150320044286349	1.17806793854003	0.104122327924144	0.376933234699753	0.197314736059226	0.0694631177297595	0.416165030839111	-0.157232083210633	-0.709474299454201	0.0326038122800901	0.409730302119089	-0.0493292313047055	0.796551967665541	1.08179789142095
2013-04-15	-1.31810575318636	0.365407712837653	0.117330119602132	0.264469167797932	0.0375602237804966	0.27136917567088	0.181946399584788	-0.170743890079505	-0.0805224657588365	-0.100152824931372	-0.753399872801136	0.0545220641977478	0.404082708547926	-0.0389065652547374	0.747957803737493	1.06007904179931
2013-04-16	-1.41494609153981	0.317850709223195	0.13757999898053	1.39807237465132	0.0232847083169747	0.486936523062787	-0.0393576456471128	-0.027568287004426	0.324398728177754	-0.0534540030781904	-0.79985349997456	0.0879975579582626	0.410409022984347	-0.0222400041352033	0.694928015046155	1.03432785047395
2013-04-17	-1.31185168491732	0.338232282201111	0.0943852223883226	0.584904773872913	0.077441188459223	0.290775531429853	0.0497787059046251	-0.0298027707980006	0.135625226352371	-0.0606653741267918	-0.81996654331041	0.141198347587093	0.435742111760655	0.0254975965376356	0.671396475121918	0.996029239570397
2013-04-18	-1.2568354281131	0.807008460693177	0.0218950834759872	0.388170846487558	-0.0428048963711895	0.218302058034067	0.271082751136526	-0.128857858967876	2.23900304909728	-0.0788032790952837	-0.871344172060366	0.062516413999131	0.401709814084246	0.0433644640994178	0.656150623524877	0.878544390642765
2013-04-19	-1.15393646112402	0.708497524633929	0.451307874813534	0.429062457302941	0.103860945246642	0.325373011424076	0.357145435393377	0.0189764320164477	0.429252777252121	-0.112319686894105	-0.863164590492124	0.00809709050911519	0.382791696294176	0.0439006472066689	0.653736278226231	0.817284801650263
2013-04-22	-1.13449021759997	0.412964716454149	-0.0335366083892989	0.0102073186149684	0.00786313034440947	0.098809407883329	0.0958837153279379	-0.158538549357999	0.209047553816574	-0.155928018841239	-0.894565849330415	-0.0283238921761047	0.380544828092367	0.0178183656792373	0.650483873860889	0.807530230331822
2013-04-23	-1.07219383445131	0.423155502943107	0.119815265631333	0.0906447758856798	-0.0411662280468556	0.313989849966295	-0.0823889877755381	-0.0745767668126454	0.229452330957006	-0.150506668409156	-0.907828503799575	-0.12880705376964	0.35360952770183	0.0192468994757459	0.642518549292557	0.744872054372445
2013-04-24	-0.994017981088291	0.270293705608737	0.295858659943987	0.343508291788275	0.0846995843498307	0.531430633590967	0.0128946983659749	-0.0278423274696757	0.453959685589215	-0.15269750207081	-0.903730563765256	-0.295672227746107	0.329852296327035	0.0453305192746295	0.641890210212377	0.667287382008389
