Date	ATRCT	AVBLS	ETRAV	NADDU	NTRAN	NTRBL	NTREP	TOUTV	TRFEE	Volume_BTC	Volume_Currency	Weighted_Price	JPY_Rate	GBP_Rate	CHF_Rate	EUR_Rate	CNY_Rate	CAD_Rate	SEK_Rate	Dollar_Index
2009-01-22	0	0.000220743815104	500	76	76	1	76	4250	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-23	0	0.000211658762462	150	68	68	1	68	3500	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-24	0	0.000215262024846	800	201	201	1	201	10750	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-25	0	0.000206917831578	50	195	195	1	195	9750	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-26	0	0.000205853889728	0	116	116	1	116	5800	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-27	0	0.000231289169163	1150	105	105	1	105	6300	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-28	0	0.000205780695943	0	103	103	1	103	5150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-29	0	0.000205485547175	0	122	122	1	122	6100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-30	0	0.000217043663845	600	122	122	1	122	6650	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-01-31	0	0.000205572261367	0	129	129	1	129	6450	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-02-01	0	0.000227196463223	1100	118	118	1	118	6900	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-02-02	0	0.000205835958165	0	127	127	1	127	6350	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-02-03	0	0.000233075198005	115	145	150	1	150	7436.52	2.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-02-04	0	0.000212087863829	38	129	126	1	126	6300	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-02-05	0	0.000205725677742	0	121	121	1	121	6050	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-02-06	0	0.000205816224564	0	129	129	1	129	6450	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009-02-07	0	0.000229752252972	1150	131	130	1	130	7498	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
