Date	USD_Scaled_Price	ATRCT	AVBLS	ETRAV	NADDU	NTRAN	NTRBL	NTREP	TOUTV	JPY_Rate	GBP_Rate	CHF_Rate	EUR_Rate	CNY_Rate	CAD_Rate	SEK_Rate
2009-01-03	NA	-1.07828703976404	-0.792863955508702	-0.534175392594891	-0.774032989860437	-0.852896198361536	-0.832363807728092	-0.738471413933749	-0.462259060894958	NA	NA	NA	NA	NA	NA	NA
2009-01-04	NA	-1.07828703976404	-0.794414099856031	-0.534175392594891	-0.77404304304034	-0.852916561798849	-0.832363807728092	-0.738492493969537	-0.462280965574886	NA	NA	NA	NA	NA	NA	NA
2009-01-05	NA	-1.07828703976404	-0.794414099856031	-0.534175392594891	-0.77404304304034	-0.852916561798849	-0.832363807728092	-0.738492493969537	-0.462280965574886	NA	NA	NA	NA	NA	NA	NA
2009-01-06	NA	-1.07828703976404	-0.794414099856031	-0.534175392594891	-0.77404304304034	-0.852916561798849	-0.832363807728092	-0.738492493969537	-0.462280965574886	NA	NA	NA	NA	NA	NA	NA
2009-01-07	NA	-1.07828703976404	-0.794414099856031	-0.534175392594891	-0.77404304304034	-0.852916561798849	-0.832363807728092	-0.738492493969537	-0.462280965574886	NA	NA	NA	NA	NA	NA	NA
2009-01-08	NA	-1.07828703976404	-0.794414099856031	-0.534175392594891	-0.77404304304034	-0.852916561798849	-0.832363807728092	-0.738492493969537	-0.462280965574886	NA	NA	NA	NA	NA	NA	NA
2009-01-09	NA	-1.07828703976404	-0.79324469271682	-0.534175392594891	-0.773902298521686	-0.852631473676472	-0.832363807728092	-0.738197373468499	-0.461974300055884	NA	NA	NA	NA	NA	NA	NA
2009-01-10	NA	-1.07828703976404	-0.79324469271682	-0.534175392594891	-0.77373139446332	-0.852285295242156	-0.832363807728092	-0.737839012860095	-0.461601920497096	NA	NA	NA	NA	NA	NA	NA
2009-01-11	NA	-1.07828703976404	-0.79324258891284	-0.534175392594891	-0.772977405970528	-0.850758037443706	-0.832363807728092	-0.736258010175962	-0.459959069502442	NA	NA	NA	NA	NA	NA	NA
2009-01-12	NA	-1.07828703976404	-0.79315094458243	-0.534091282322387	-0.773077937769567	-0.850982035254146	-0.832363807728092	-0.736489890569635	-0.460265296927845	NA	NA	NA	NA	NA	NA	NA
2009-01-13	NA	-1.07828703976404	-0.79322794973897	-0.534140346648014	-0.772866820991586	-0.85055440307058	-0.832363807728092	-0.736047209818078	-0.459749660762323	NA	NA	NA	NA	NA	NA	NA
2009-01-14	NA	-1.07828703976404	-0.793239857958619	-0.534175392594891	-0.772776342372451	-0.850350768697453	-0.832363807728092	-0.735836409460194	-0.459520975903867	NA	NA	NA	NA	NA	NA	NA
