Date	USD_Price_BTC
2-12-14	661.7
2-13-14	628.52
2-14-14	621.13
2-15-14	651.08
2-16-14	627.5
2-17-14	638.11
2-18-14	629.45
2-19-14	626.91
2-20-14	588.87
2-21-14	564.26
2-22-14	593.22
2-23-14	618.71
2-24-14	558.08
2-25-14	481.16
2-26-14	574.7
2-27-14	582.82
2-28-14	564.94
3-1-14	561.52
3-2-14	563.24
3-3-14	633.75
3-4-14	679.3
3-5-14	665.01
3-6-14	662.82
3-7-14	635.6
3-8-14	616.79
3-9-14	637.47
3-10-14	626.1
3-11-14	629.61
3-12-14	640.16
3-13-14	642.75
3-14-14	631.91
3-15-14	633.35
3-16-14	632.22
3-17-14	623.58
3-18-14	611
3-19-14	613.35
3-20-14	594.37
3-21-14	576.42
3-22-14	559.73
3-23-14	561.66
3-24-14	568.32
3-25-14	577.67
3-26-14	582.73
3-27-14	525.2
3-28-14	501.65
3-29-14	497.06
3-30-14	458.4
3-31-14	456.08
4-1-14	481.64
4-2-14	456.24
4-3-14	435.56
4-4-14	443.71
4-5-14	453.6
4-6-14	457.32
4-7-14	452.16
4-8-14	451.68
4-9-14	445.75
4-10-14	400.48
4-11-14	389.46
4-12-14	427.04
4-13-14	409.74
4-14-14	450.28
4-15-14	495.31
4-16-14	520.92
4-17-14	504.05
4-18-14	486.25
4-19-14	493.8
4-20-14	506.97
4-21-14	499.94
4-22-14	495.5
4-23-14	488.48
4-24-14	492.29
4-25-14	462.89
4-26-14	457.07
4-27-14	446.09
4-28-14	436.32
4-29-14	444.34
4-30-14	443.87
5-1-14	457.68
5-2-14	450.01
5-3-14	437.96
5-4-14	433.88
5-5-14	432.13
5-6-14	427.05
5-7-14	441.67
5-8-14	444.67
5-9-14	450.51
5-10-14	455.11
5-11-14	439.52
5-12-14	438
5-13-14	437.89
5-14-14	444.31
5-15-14	447.87
5-16-14	448.91
5-17-14	448.58
5-18-14	446.91
5-19-14	446.7
5-20-14	475.09
5-21-14	495.7
5-22-14	512.52
5-23-14	531.88
5-24-14	521.64
5-25-14	565.12
5-26-14	582.44
5-27-14	575.67
5-28-14	574.46
5-29-14	569.55
5-30-14	603.97
5-31-14	621.97
6-1-14	645.73
6-2-14	647.59
6-3-14	668.36
6-4-14	640.72
6-5-14	658.38
6-6-14	655.98
6-7-14	650.35
6-8-14	657.42
6-9-14	650.67
6-10-14	660.85
6-11-14	647.12
6-12-14	608.02
6-13-14	607.65
6-14-14	567.93
6-15-14	566.11
6-16-14	597.92
6-17-14	606.77
6-18-14	610.11
6-19-14	603.42
6-20-14	590.42
6-21-14	592.28
6-22-14	605
6-23-14	589.22
6-24-14	587.33
6-25-14	571.01
6-26-14	573.96
6-27-14	588.74
6-28-14	599.1
6-29-14	599.58
6-30-14	626.91
7-1-14	652.14
7-2-14	650.35
7-3-14	643.93
7-4-14	637.64
7-5-14	632.19
7-6-14	636.87
7-7-14	626.39
7-8-14	622.69
7-9-14	625.23
7-10-14	616.16
7-11-14	626.61
7-12-14	635.19
7-13-14	630.99
7-14-14	622.18
7-15-14	622.1
7-16-14	616.48
7-17-14	621.29
7-18-14	625.27
7-19-14	627.92
7-20-14	623.46
7-21-14	619.46
7-22-14	621
7-23-14	618.92
7-24-14	604.22
7-25-14	600.2
7-26-14	593.42
7-27-14	593.93
7-28-14	581.53
7-29-14	582.83
7-30-14	570.96
7-31-14	577.24
8-1-14	590.57
8-2-14	589.79
8-3-14	583.51
8-4-14	588.91
8-5-14	582.6
8-6-14	580.56
8-7-14	586.32
8-8-14	593.07
